Id,nom
1,Membre supérieur
2,Q100 Examen radiologique du doigt
3,Q101 Examen radiologique de la main
4,Q103 Examen radiologique du poignet
5,Q107 Examen radiologique de l'avant-bras (F/P)
6,Q108 Examen radiologique du bras ou humerus F/P
7,Q112 Examen radiologique du coude
8,Q113 Examen radiologique du bras
9,Q117 Examen radiologique de deux segments du squelette du membre supérieur
10,Q120 Examen radiologique de trois segments ou davantage du squelette du membre supérieur
11,Q159 Examen radiologique des deux mains et/ou des deux poignets de face sur la même plaque
12,Les cotations ci-dessus ne sont pas cumulables entre elles.
13,"Q160 Epaule, ceinture scapulaire, omoplate, clavicule (par élément)"
14,Membre inférieur
15,Q166 Calcanéum
16,"Q129 Examen radiologique du pied, minimum deux incidences"
17,"Q130 Examen radiologique de la cheville, minimum deux incidences"
18,"Q131 Examen radiologique de la jambe, minimum deux incidences"
19,Q132 Examen radiologique du genou inférieur ou égal à deux incidences.
20,"Q133 Examen radiologique de la cuisse, minimum deux incidences"
21,Q134 Examen radiologique de deux segments du squelette du membre inférieur
22,Q135 Examen radiologique de trois segments ou davantage du squelette du membre inférieur
23,Les cotations ci-dessus ne sont pas cumulables entre elles.
24,Q137 Gonométrie
25,Q138 Examen radiologique orteil F/P
26,Q139 Bassin Face
27,Q140 Bassin Face + profil (Hanche)
28,Q141 Bassin 3/4 Alaire (2côtes)
29,Q142 Bassin 3/4 Obturateur (2côtes)
30,"Q143 Examen radiologique de la hanche, deux incidences( F/P)"
31,"Q144 Examen radiologique de la hanche, trois incidences ou plus"
32,"En cas d'exploration simultanée du bassin et de la hanche, ou des deux hanches, la cotation relative au bassin est limité à une seule incidence."
33,Q146 GRAND AXE SUR 30/90 (PANGONOGRAMME EN CHARGE)
34,Tête
35,"Crâne, massif facial, sinus"
36,"Q147 Examen radiologique du crâne, massif facial, sinus, une incidence"
37,"Q162 Examen radiologique du crâne, massif facial, sinus, 2 ou 3 incidences"
38,"Examen radiologique des os du crâne et du massif facial, incidences spéciales:"
39,Q148 Blondeau
40,Q149 Os du nez propre
41,Q150 Hirtz
42,Q151 Trou Optique
43,Q152 WENGMESTEN Rice
44,Q154 Examen radiologique des articulations temporo-maxillaires
45,Examens intrabuccaux
46,Q155 Examen radiographique du panoramique dentaire
47,Q156 Examen radiographique retroalvéolaire (par dent ou groupe de 2 ou 3 dents contigues)
48,Thorax
49,Q157 Examen Thorax standard Face
50,Q158 Examen Thorax standard Face / profil
51,"Q163 Sternum F/P et/ou articulations sternoclaviculaires uni ou bilatérales, minimum 2 incidences"
52,"Q164 Gril costal unilatéral, minimum 3 incidences"
53,"Q165 Gril costal bilatéral, minimum 3 incidences"
